DateTime,TotalLoadValue
19-12-2014 09:00,34456
19-12-2014 10:00,33975
19-12-2014 11:00,33454
19-12-2014 12:00,32967
19-12-2014 13:00,31753
19-12-2014 14:00,31079
19-12-2014 15:00,30962
19-12-2014 16:00,31943
19-12-2014 17:00,34406
19-12-2014 18:00,34878
19-12-2014 19:00,34670
19-12-2014 20:00,33819
19-12-2014 21:00,31996
19-12-2014 22:00,29484
19-12-2014 23:00,27208
20-12-2014 00:00,24825
20-12-2014 01:00,23136
20-12-2014 02:00,22243
20-12-2014 03:00,21853
20-12-2014 04:00,21870
20-12-2014 05:00,22558
20-12-2014 06:00,23916
20-12-2014 07:00,25568
20-12-2014 08:00,28201
20-12-2014 09:00,30216
20-12-2014 10:00,30306
20-12-2014 11:00,29751
20-12-2014 12:00,29740
20-12-2014 13:00,29203
20-12-2014 14:00,28115
20-12-2014 15:00,27472
20-12-2014 16:00,28130
20-12-2014 17:00,30752
20-12-2014 18:00,31448
20-12-2014 19:00,31885
20-12-2014 20:00,31589
20-12-2014 21:00,29999
20-12-2014 22:00,27961
20-12-2014 23:00,25540
21-12-2014 00:00,23350
21-12-2014 01:00,21803
21-12-2014 02:00,20879
21-12-2014 03:00,20438
21-12-2014 04:00,20450
21-12-2014 05:00,20907
21-12-2014 06:00,21691
21-12-2014 07:00,22412
21-12-2014 08:00,24238
21-12-2014 09:00,26473
21-12-2014 10:00,27190
21-12-2014 11:00,26784
21-12-2014 12:00,27030
21-12-2014 13:00,26926
21-12-2014 14:00,25881
21-12-2014 15:00,25380
21-12-2014 16:00,25946
21-12-2014 17:00,28789
21-12-2014 18:00,29800
21-12-2014 19:00,30717
21-12-2014 20:00,31074
21-12-2014 21:00,30122
21-12-2014 22:00,27573
21-12-2014 23:00,24775
22-12-2014 00:00,22743
22-12-2014 01:00,21414
22-12-2014 02:00,20937
22-12-2014 03:00,20897
22-12-2014 04:00,21560
22-12-2014 05:00,24024
22-12-2014 06:00,28116
22-12-2014 07:00,31488
22-12-2014 08:00,33569
22-12-2014 09:00,34357
22-12-2014 10:00,33966
22-12-2014 11:00,33253
22-12-2014 12:00,32883
22-12-2014 13:00,31580
22-12-2014 14:00,30707
22-12-2014 15:00,30617
22-12-2014 16:00,31415
22-12-2014 17:00,33835
22-12-2014 18:00,34338
22-12-2014 19:00,34346
22-12-2014 20:00,33880
22-12-2014 21:00,31712
22-12-2014 22:00,28851
22-12-2014 23:00,26047
23-12-2014 00:00,23652
23-12-2014 01:00,22227
23-12-2014 02:00,21634
23-12-2014 03:00,21527
23-12-2014 04:00,22090
23-12-2014 05:00,24084
23-12-2014 06:00,27831
23-12-2014 07:00,31164
23-12-2014 08:00,33173
23-12-2014 09:00,34053
23-12-2014 10:00,33645
23-12-2014 11:00,32945
23-12-2014 12:00,32534
23-12-2014 13:00,31424
23-12-2014 14:00,30712
23-12-2014 15:00,30683
23-12-2014 16:00,31493
23-12-2014 17:00,33708
23-12-2014 18:00,34177
23-12-2014 19:00,34008
23-12-2014 20:00,33522
23-12-2014 21:00,31516
23-12-2014 22:00,28730
23-12-2014 23:00,25948
24-12-2014 00:00,23265
24-12-2014 01:00,21636
24-12-2014 02:00,20804
24-12-2014 03:00,20526
24-12-2014 04:00,20745
24-12-2014 05:00,21955
24-12-2014 06:00,24456
24-12-2014 07:00,26939
24-12-2014 08:00,29592
24-12-2014 09:00,30938
24-12-2014 10:00,30657
24-12-2014 11:00,29626
24-12-2014 12:00,29112
24-12-2014 13:00,27875
24-12-2014 14:00,26871
24-12-2014 15:00,26614
24-12-2014 16:00,27354
24-12-2014 17:00,30158
24-12-2014 18:00,30609
24-12-2014 19:00,29288
24-12-2014 20:00,27358
24-12-2014 21:00,25083
24-12-2014 22:00,24183
24-12-2014 23:00,23526
25-12-2014 00:00,22221
25-12-2014 01:00,20582
25-12-2014 02:00,19228
25-12-2014 03:00,18542
25-12-2014 04:00,18426
25-12-2014 05:00,18622
25-12-2014 06:00,19118
25-12-2014 07:00,19242
25-12-2014 08:00,20468
25-12-2014 09:00,22576
25-12-2014 10:00,23999
25-12-2014 11:00,24289
25-12-2014 12:00,24385
25-12-2014 13:00,23624
