,TotalLoadValue
2014-12-19 10:00:00,33961.666666666664
2014-12-19 11:00:00,33465.333333333336
2014-12-19 12:00:00,32724.666666666668
2014-12-19 13:00:00,31933.0
2014-12-19 14:00:00,31264.666666666668
2014-12-19 15:00:00,31328.0
2014-12-19 16:00:00,32437.0
2014-12-19 17:00:00,33742.333333333336
2014-12-19 18:00:00,34651.333333333336
2014-12-19 19:00:00,34455.666666666664
2014-12-19 20:00:00,33495.0
2014-12-19 21:00:00,31766.333333333332
2014-12-19 22:00:00,29562.666666666668
2014-12-19 23:00:00,27172.333333333332
2014-12-20 00:00:00,25056.333333333332
2014-12-20 01:00:00,23401.333333333332
2014-12-20 02:00:00,22410.666666666668
2014-12-20 03:00:00,21988.666666666668
2014-12-20 04:00:00,22093.666666666668
2014-12-20 05:00:00,22781.333333333332
2014-12-20 06:00:00,24014.0
2014-12-20 07:00:00,25895.0
2014-12-20 08:00:00,27995.0
2014-12-20 09:00:00,29574.333333333332
2014-12-20 10:00:00,30091.0
2014-12-20 11:00:00,29932.333333333332
2014-12-20 12:00:00,29564.666666666668
2014-12-20 13:00:00,29019.333333333332
2014-12-20 14:00:00,28263.333333333332
2014-12-20 15:00:00,27905.666666666668
2014-12-20 16:00:00,28784.666666666668
2014-12-20 17:00:00,30110.0
2014-12-20 18:00:00,31361.666666666668
2014-12-20 19:00:00,31640.666666666668
2014-12-20 20:00:00,31157.666666666668
2014-12-20 21:00:00,29849.666666666668
2014-12-20 22:00:00,27833.333333333332
2014-12-20 23:00:00,25617.0
2014-12-21 00:00:00,23564.333333333332
2014-12-21 01:00:00,22010.666666666668
2014-12-21 02:00:00,21040.0
2014-12-21 03:00:00,20589.0
2014-12-21 04:00:00,20598.333333333332
2014-12-21 05:00:00,21016.0
2014-12-21 06:00:00,21670.0
2014-12-21 07:00:00,22780.333333333332
2014-12-21 08:00:00,24374.333333333332
2014-12-21 09:00:00,25967.0
2014-12-21 10:00:00,26815.666666666668
2014-12-21 11:00:00,27001.333333333332
2014-12-21 12:00:00,26913.333333333332
2014-12-21 13:00:00,26612.333333333332
2014-12-21 14:00:00,26062.333333333332
2014-12-21 15:00:00,25735.666666666668
2014-12-21 16:00:00,26705.0
2014-12-21 17:00:00,28178.333333333332
2014-12-21 18:00:00,29768.666666666668
2014-12-21 19:00:00,30530.333333333332
2014-12-21 20:00:00,30637.666666666668
2014-12-21 21:00:00,29589.666666666668
2014-12-21 22:00:00,27490.0
2014-12-21 23:00:00,25030.333333333332
2014-12-22 00:00:00,22977.333333333332
2014-12-22 01:00:00,21698.0
2014-12-22 02:00:00,21082.666666666668
2014-12-22 03:00:00,21131.333333333332
2014-12-22 04:00:00,22160.333333333332
2014-12-22 05:00:00,24566.666666666668
2014-12-22 06:00:00,27876.0
2014-12-22 07:00:00,31057.666666666668
2014-12-22 08:00:00,33138.0
2014-12-22 09:00:00,33964.0
2014-12-22 10:00:00,33858.666666666664
2014-12-22 11:00:00,33367.333333333336
2014-12-22 12:00:00,32572.0
2014-12-22 13:00:00,31723.333333333332
2014-12-22 14:00:00,30968.0
2014-12-22 15:00:00,30913.0
2014-12-22 16:00:00,31955.666666666668
2014-12-22 17:00:00,33196.0
2014-12-22 18:00:00,34173.0
2014-12-22 19:00:00,34188.0
2014-12-22 20:00:00,33312.666666666664
2014-12-22 21:00:00,31481.0
2014-12-22 22:00:00,28870.0
2014-12-22 23:00:00,26183.333333333332
2014-12-23 00:00:00,23975.333333333332
2014-12-23 01:00:00,22504.333333333332
2014-12-23 02:00:00,21796.0
2014-12-23 03:00:00,21750.333333333332
2014-12-23 04:00:00,22567.0
